Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Year
188,17,2006-06-02,ECF,MIA,DET,6,1,33:51:00,12,14,0.857,0,0,,4,9,0.444,3,13,16,1,0,5,5,5,28,24.2,2006
189,18,2006-06-08,FIN,MIA,DAL,1,1,38:15:00,8,11,0.727,0,0,,1,9,0.111,3,4,7,5,0,0,2,4,17,12.5,2006
190,19,2006-06-11,FIN,MIA,DAL,2,1,27:56:00,2,5,0.4,0,0,,1,7,0.143,1,5,6,2,0,0,2,1,5,1.1,2006
191,20,2006-06-13,FIN,MIA,DAL,3,1,37:06:00,6,9,0.667,0,0,,4,6,0.667,3,8,11,5,1,2,7,3,16,13.5,2006
192,21,2006-06-15,FIN,MIA,DAL,4,1,29:59:00,6,8,0.75,0,0,,5,10,0.5,3,10,13,3,0,2,3,4,17,15.8,2006
193,22,2006-06-18,FIN,MIA,DAL,5,1,47:22:00,8,12,0.667,0,0,,2,12,0.167,2,10,12,1,2,0,3,5,18,10.9,2006
194,23,2006-06-20,FIN,MIA,DAL,6,1,30:19:00,4,11,0.364,0,0,,1,4,0.25,3,9,12,1,0,1,2,5,9,3.9,2006
195,1,2007-04-21,EC1,MIA,CHI,1,1,26:49:00,9,14,0.643,0,0,,1,3,0.333,2,4,6,3,0,1,2,6,19,13,2007
196,2,2007-04-24,EC1,MIA,CHI,2,1,31:07:00,6,14,0.429,0,0,,5,5,1,5,3,8,1,0,1,7,3,17,7.2,2007
197,3,2007-04-27,EC1,MIA,CHI,3,1,32:15:00,10,17,0.588,0,0,,3,12,0.25,6,7,13,1,1,2,2,3,23,17.7,2007
198,4,2007-04-29,EC1,MIA,CHI,4,1,30:41:00,8,14,0.571,0,0,,0,7,0,3,4,7,0,0,2,3,3,16,7.1,2007
199,1,2008-04-19,WC1,PHO,SAS,1,1,30:20:00,5,8,0.625,0,0,,1,3,0.333,1,4,5,1,2,4,4,5,11,8,2008
200,2,2008-04-22,WC1,PHO,SAS,2,1,36:06:00,6,13,0.462,0,0,,7,14,0.5,3,11,14,0,1,4,1,4,19,16.1,2008
201,3,2008-04-25,WC1,PHO,SAS,3,1,31:07:00,5,11,0.455,0,0,,9,17,0.529,2,4,6,2,0,0,1,4,19,11.5,2008
202,4,2008-04-27,WC1,PHO,SAS,4,1,23:35,4,10,0.4,0,0,,6,10,0.6,5,7,12,1,2,2,1,3,14,14.5,2008
203,5,2008-04-29,WC1,PHO,SAS,5,1,29:16:00,2,8,0.25,0,0,,9,20,0.45,2,7,9,1,0,3,2,5,13,6.1,2008
204,1,2010-04-17,EC1,CLE,CHI,1,1,24:31:00,5,9,0.556,0,0,,2,5,0.4,3,2,5,4,0,3,3,2,12,10.3,2010
205,2,2010-04-19,EC1,CLE,CHI,2,1,15:16,2,4,0.5,0,0,,4,4,1,1,6,7,1,0,0,4,4,8,3.6,2010
206,3,2010-04-22,EC1,CLE,CHI,3,1,19:58,2,8,0.25,0,0,,2,2,1,3,1,4,1,0,2,1,3,6,3.5,2010
207,4,2010-04-25,EC1,CLE,CHI,4,1,17:01,3,7,0.429,0,0,,0,0,,1,6,7,0,0,1,2,5,6,1.5,2010
208,5,2010-04-27,EC1,CLE,CHI,5,1,26:16:00,7,9,0.778,0,0,,0,1,0,1,7,8,3,1,1,4,5,14,10.7,2010
209,6,2010-05-01,ECS,CLE,BOS,1,1,19:52,4,12,0.333,0,0,,3,4,0.75,3,1,4,0,0,0,1,5,11,3.2,2010
210,7,2010-05-03,ECS,CLE,BOS,2,1,18:58,4,10,0.4,0,0,,1,2,0.5,3,1,4,1,0,0,1,1,9,4.9,2010
211,8,2010-05-07,ECS,CLE,BOS,3,1,22:45,5,7,0.714,0,0,,2,2,1,2,7,9,2,0,0,2,3,12,10.8,2010
212,9,2010-05-09,ECS,CLE,BOS,4,1,27:58:00,5,9,0.556,0,0,,7,11,0.636,0,5,5,0,0,2,3,5,17,9,2010
213,10,2010-05-11,ECS,CLE,BOS,5,1,26:31:00,7,11,0.636,0,0,,7,10,0.7,1,3,4,2,1,4,2,3,21,18.5,2010
214,11,2010-05-13,ECS,CLE,BOS,6,1,24:07:00,4,7,0.571,0,0,,3,6,0.5,3,1,4,1,0,0,1,5,11,6.6,2010
215,1,2011-05-07,ECS,BOS,MIA,3,0,8:29,1,2,0.5,0,0,,0,2,0,0,0,0,1,1,0,0,2,2,1.1,2011
216,2,2011-05-09,ECS,BOS,MIA,4,0,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,2011
