Rk,G,Playoffs,Series,Tm,Opp,G#,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
212,13,2017-05-25,ECF,CLE,BOS,5,W (+33),1,34:44:00,13,18,0.722,4,7,0.571,5,8,0.625,1,7,8,8,3,1,2,4,35,34.9,36,2017
213,14,2017-06-01,FIN,CLE,GSW,1,L (-22),1,40:02:00,9,20,0.45,2,6,0.333,8,12,0.667,3,12,15,8,0,2,8,4,28,19.1,-22,2017
214,15,2017-06-04,FIN,CLE,GSW,2,L (-19),1,39:22:00,12,18,0.667,1,3,0.333,4,5,0.8,0,11,11,14,3,1,4,2,29,32.8,-11,2017
215,16,2017-06-07,FIN,CLE,GSW,3,L (-5),1,45:37:00,15,27,0.556,4,9,0.444,5,6,0.833,3,8,11,9,1,1,5,2,39,32.4,7,2017
216,17,2017-06-09,FIN,CLE,GSW,4,W (+21),1,40:46:00,11,22,0.5,3,8,0.375,6,10,0.6,1,9,10,11,1,0,2,2,31,27.7,32,2017
217,18,2017-06-12,FIN,CLE,GSW,5,L (-9),1,46:13:00,19,30,0.633,2,5,0.4,1,4,0.25,2,11,13,8,2,1,2,3,41,36.2,-13,2017
218,1,2018-04-15,EC1,CLE,IND,1,L (-18),1,43:56:00,7,17,0.412,0,4,0,10,14,0.714,3,7,10,12,1,1,3,2,24,23.8,-13,2018
219,2,2018-04-18,EC1,CLE,IND,2,W (+3),1,39:53:00,17,24,0.708,2,5,0.4,10,13,0.769,1,11,12,5,2,0,3,1,46,40.9,7,2018
220,3,2018-04-20,EC1,CLE,IND,3,L (-2),1,41:41:00,10,22,0.455,4,7,0.571,4,6,0.667,3,9,12,8,1,1,6,1,28,21.5,-1,2018
221,4,2018-04-22,EC1,CLE,IND,4,W (+4),1,46:09:00,12,22,0.545,0,5,0,8,9,0.889,2,11,13,7,0,2,1,3,32,29.8,3,2018
222,5,2018-04-25,EC1,CLE,IND,5,W (+3),1,41:49:00,14,24,0.583,1,4,0.25,15,15,1,3,7,10,8,1,1,5,3,44,38.1,2,2018
223,6,2018-04-27,EC1,CLE,IND,6,L (-34),1,31:11:00,7,16,0.438,3,6,0.5,5,5,1,0,5,5,7,1,2,4,3,22,17.2,-24,2018
224,7,2018-04-29,EC1,CLE,IND,7,W (+4),1,43:25:00,16,25,0.64,2,3,0.667,11,15,0.733,2,6,8,7,4,0,4,4,45,38.8,-2,2018
225,8,2018-05-01,ECS,CLE,TOR,1,W (+1),1,46:56:00,12,30,0.4,1,8,0.125,1,6,0.167,0,11,11,13,1,2,1,2,26,20.8,5,2018
